record_id,name,city,region,record_origin,primary_category,themes,archetype,evidence_strength,risk_flags,existing_short_description,extractor_supported_facts,extractor_geographic_context,extractor_historical_context,extractor_cultural_context,extractor_hard_constraints,extractor_missing_information,extractor_confidence,writer_description_map,writer_description_card,writer_factual_basis,writer_claims_avoided,writer_confidence,writer_risk_flags,critic_verdict,critic_issues,critic_suggested_rewrite_notes,critic_confidence,final_recommended_description,editorial_status,editorial_notes
58af7a4c-4889-4cb5-b7c2-e03da809349d,Randall Davey House,santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 6.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 58af7a4c-4889-4cb5-b7c2-e03da809349d.,Mock card description for 58af7a4c-4889-4cb5-b7c2-e03da809349d grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 58af7a4c-4889-4cb5-b7c2-e03da809349d grounded in the evidence packet and written conservatively for pilot review.,,
ec3e2ab8-b13a-49cc-a672-1448b2eaf0dd,Ricardo Alarid House,santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 5.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for ec3e2ab8-b13a-49cc-a672-1448b2eaf0dd.,Mock card description for ec3e2ab8-b13a-49cc-a672-1448b2eaf0dd grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for ec3e2ab8-b13a-49cc-a672-1448b2eaf0dd grounded in the evidence packet and written conservatively for pilot review.,,
5e44cdf3-a12d-4816-af96-20f05a792137,Santa Fe County John Gaw Meem Historic Building,santa-fe,new-mexico,database,history,,historic_site,high,needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,site formerly had building that was the residence of Maria Gertrudis Barceló,"[""Ground only to provided evidence."", ""Pilot row 20.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 5e44cdf3-a12d-4816-af96-20f05a792137.,Mock card description for 5e44cdf3-a12d-4816-af96-20f05a792137 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 5e44cdf3-a12d-4816-af96-20f05a792137 grounded in the evidence packet and written conservatively for pilot review.,,
b7563bfb-d735-4987-9b40-f411d7e015d2,Superintendent's Residence,santa-fe,new-mexico,database,history,,historic_site,medium,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 19.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for b7563bfb-d735-4987-9b40-f411d7e015d2.,Mock card description for b7563bfb-d735-4987-9b40-f411d7e015d2 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for b7563bfb-d735-4987-9b40-f411d7e015d2 grounded in the evidence packet and written conservatively for pilot review.,,
5d4a8077-cfdc-4c66-b396-af18a4995a97,The Santa Fe Plaza,santa-fe,new-mexico,database,civic,,civic_core,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Civic space that helps explain the structure of public life.,"[""Ground only to provided evidence."", ""Pilot row 15.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 5d4a8077-cfdc-4c66-b396-af18a4995a97.,Mock card description for 5d4a8077-cfdc-4c66-b396-af18a4995a97 grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 5d4a8077-cfdc-4c66-b396-af18a4995a97 grounded in the evidence packet and written conservatively for pilot review.,,
027d8e3a-2850-43db-9f64-1496fd5a83ef,Tudesque House,santa-fe,new-mexico,database,history,,historic_site,high,generic_existing_description|needs_editorial_review|osm_only_identity_risk|historical_or_cultural_sensitivity,Historic site with strong local landscape context.,"[""Ground only to provided evidence."", ""Pilot row 18.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for 027d8e3a-2850-43db-9f64-1496fd5a83ef.,Mock card description for 027d8e3a-2850-43db-9f64-1496fd5a83ef grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for 027d8e3a-2850-43db-9f64-1496fd5a83ef grounded in the evidence packet and written conservatively for pilot review.,,
poi-canyon-road-corridor,Canyon Road Arts Corridor,santa-fe,,fixture_overlay,art,,art_site,low,fixture_overlay,Dense art corridor where street sequence and galleries read as a cultural landscape.,"[""Ground only to provided evidence."", ""Pilot row 4.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for poi-canyon-road-corridor.,Mock card description for poi-canyon-road-corridor grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for poi-canyon-road-corridor grounded in the evidence packet and written conservatively for pilot review.,,
poi-cross-of-the-martyrs,Cross of the Martyrs Overlook,santa-fe,,fixture_overlay,scenic,,overlook_landscape,low,fixture_overlay,Overlook with a strong topographic read on the city and visible historical framing.,"[""Ground only to provided evidence."", ""Pilot row 3.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for poi-cross-of-the-martyrs.,Mock card description for poi-cross-of-the-martyrs grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for poi-cross-of-the-martyrs grounded in the evidence packet and written conservatively for pilot review.,,
poi-santa-fe-plaza,Santa Fe Plaza,santa-fe,,fixture_overlay,culture,,civic_core,low,fixture_overlay|historical_or_cultural_sensitivity,"Historic civic core where colonial planning, commerce, and public life still intersect.","[""Ground only to provided evidence."", ""Pilot row 2.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for poi-santa-fe-plaza.,Mock card description for poi-santa-fe-plaza grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for poi-santa-fe-plaza grounded in the evidence packet and written conservatively for pilot review.,,
poi-rail-yard,Santa Fe Rail Yard District,santa-fe,,fixture_overlay,civic,rail,rail_corridor,low,fixture_overlay|historical_or_cultural_sensitivity|theme_specific_claims_must_be_grounded,Former rail infrastructure turned civic corridor with strong labor and settlement traces.,"[""Ground only to provided evidence."", ""Pilot row 1.""]","[""Santa Fe area context""]","[""Use cautious historical framing.""]","[""Avoid speaking for communities without explicit support.""]","[""Do not invent dates or people.""]","[""No additional source packet loaded in mock run.""]",medium,Mock map description for poi-rail-yard.,Mock card description for poi-rail-yard grounded in the evidence packet and written conservatively for pilot review.,"[""Grounded to packet only""]","[""No invented chronology""]",medium,"[""mock_result""]",review,"[""Mock issue placeholder for review UI.""]","[""Tighten geographic specificity if sources allow.""]",medium,Mock card description for poi-rail-yard grounded in the evidence packet and written conservatively for pilot review.,,
